-66.73	21.63
-65.84	22.77
-64.96	23.88
-64.08	24.89
-63.19	25.79
-62.31	26.53
-61.42	27.15
-60.54	27.65
-59.66	28.06
-58.77	28.39
-57.79	28.64
-57.01	28.82
-56.12	28.94
-55.04	28.99
-54.35	28.98
-53.47	28.91
-52.58	28.77
-51.7	28.56
-50.82	28.26
-49.93	27.88
-49.05	27.4
-48.16	26.82
-47.28	26.16
-46.4	25.4
-45.51	24.55
-44.63	23.62
-43.74	22.56
-42.86	21.37
-41.98	20
-41.09	18.4
-40.21	16.5
-39.32	14.28
-38.44	12.07
-37.56	10.2
-36.67	8.72
-35.79	7.54
-34.9	6.59
-34.02	5.89
-33.14	5.21
-32.25	4.72
-31.37	4.31
-30.48	3.96
-29.6	3.66
-28.72	3.4
-27.83	3.17
-26.95	2.95
-26.06	2.75
-25.18	2.56
-24.29	2.36
-23.41	2.21
-22.53	2.05
-21.64	1.9
-20.76	1.76
-19.87	1.63
-18.99	1.5
-18.11	1.38
-17.22	1.27
-16.34	1.16
-15.45	1.07
-14.57	0.97
-13.69	0.89
-12.8	0.8
-11.92	0.73
-11.03	0.66
-10.15	0.59
-9.27	0.53
-8.38	0.47
-7.5	0.41
-6.61	0.36
-5.73	0.31
-4.85	0.26
-3.96	0.21
-3.08	0.17
-2.19	0.12
-1.31	0.073
-0.42	0.024
0.46	-0.024
1.34	-0.073
2.23	-0.12
3.11	-0.17
4	-0.22
4.88	-0.27
5.76	-0.32
6.65	-0.36
7.53	-0.41
8.42	-0.46
9.63	-0.51
10.18	-0.56
11.07	-0.61
11.95	-0.66
12.84	-0.71
13.72	-0.75
14.61	-0.8
15.49	-0.85
16.37	-0.9
17.26	-0.95
18.14	-0.99
19.03	-1.05
19.91	-1.1
20.79	-1.14
21.68	-1.19
22.56	-1.24
23.45	-1.29
24.33	-1.34
25.21	-1.39
26.1	-1.44
26.98	-1.49
32.63	-1.79
37.59	-2.31
42.54	-3.06
47.48	-3.8
52.43	-4.54
57.37	-5.28
61.66	-7.33
65	-10.95
