60	-8.5014
59.8	-8.3014
59.6	-8.1014
59.4	-7.9014
59.2	-7.7014
59	-7.5014
58.8	-7.3014
58.6	-7.1014
58.4	-6.9014
58.2	-6.7014
58	-6.5014
57.8	-6.3014
57.6	-6.1014
57.4	-5.9014
57.2	-5.7014
57	-5.5014
56.8	-5.3014
56.6	-5.1014
56.4	-4.9014
56.2	-4.7014
56	-4.5014
55.8	-4.3014
55.6	-4.1014
55.4	-3.9014
55.2	-3.7014
55	-3.5014
54.8	-3.4881
54.6	-3.4748
54.4	-3.4614
54.2	-3.4481
54	-3.4348
53.8	-3.4214
53.6	-3.4081
53.4	-3.3948
53.2	-3.3814
53	-3.3681
52.8	-3.3548
52.6	-3.3414
52.4	-3.3281
52.2	-3.3148
52	-3.3014
51.8	-3.2881
51.6	-3.2748
51.4	-3.2614
51.2	-3.2481
51	-3.2348
50.8	-3.2214
50.6	-3.2081
50.4	-3.1948
50.2	-3.1814
50	-3.1681
49.8	-3.1548
49.6	-3.1414
49.4	-3.1281
49.2	-3.1148
49	-3.1014
48.8	-3.0881
48.6	-3.0748
48.4	-3.0614
48.2	-3.0481
48	-3.0348
47.8	-3.0214
47.6	-3.0081
47.4	-2.9948
47.2	-2.9814
47	-2.9681
46.8	-2.9548
46.6	-2.9414
46.4	-2.9281
46.2	-2.9148
46	-2.9014
45.8	-2.8881
45.6	-2.8748
45.4	-2.8614
45.2	-2.8481
45	-2.8348
44.8	-2.8214
44.6	-2.8081
44.4	-2.7948
44.2	-2.7814
44	-2.7681
43.8	-2.7548
43.6	-2.7414
43.4	-2.7281
43.2	-2.7148
43	-2.7014
42.8	-2.6881
42.6	-2.6748
42.4	-2.6614
42.2	-2.6481
42	-2.6348
41.8	-2.6214
41.6	-2.6081
41.4	-2.5948
41.2	-2.5814
41	-2.5681
40.8	-2.5548
40.6	-2.5414
40.4	-2.5281
40.2	-2.5148
40	-2.5014
39.8	-2.4881
39.6	-2.4748
39.4	-2.4614
39.2	-2.4481
39	-2.4348
38.8	-2.4214
38.6	-2.4081
38.4	-2.3948
38.2	-2.3814
38	-2.3681
37.8	-2.3548
37.6	-2.3414
37.4	-2.3281
37.2	-2.3148
37	-2.3014
36.8	-2.2881
36.6	-2.2748
36.4	-2.2614
36.2	-2.2481
36	-2.2348
35.8	-2.2214
35.6	-2.2081
35.4	-2.1948
35.2	-2.1814
35	-2.1681
34.8	-2.1548
34.6	-2.1414
34.4	-2.1281
34.2	-2.1148
34	-2.1014
33.8	-2.0881
33.6	-2.0748
33.4	-2.0614
33.2	-2.0481
33	-2.0348
32.8	-2.0214
32.6	-2.0081
32.4	-1.9948
32.2	-1.9814
32	-1.9681
31.8	-1.9548
31.6	-1.9414
31.4	-1.9281
31.2	-1.9148
31	-1.9014
30.8	-1.8881
30.6	-1.8748
30.4	-1.8614
30.2	-1.8481
