-36.49	26.7
-35.99	16.7
-35.96	16
-35.89	15.01
-35.81	14.01
-35.73	13.01
-35.39	10.85
-34.39	8.15
-33.39	6.48
-32.39	5.24
-31.39	4.25
-30.39	3.45
-29.39	2.79
-28.69	2.54
-28.49	2.44
-28.29	2.34
-28.09	2.25
-26.49	1.79
-26.29	1.73
-26.09	1.68
-25.89	1.63
-25.69	1.58
-25.49	1.53
-25.29	1.49
-25.09	1.45
-24.89	1.41
-24.69	1.37
-24.49	1.34
-24.29	1.3
-24.09	1.26
-23.89	1.23
-23.69	1.19
-23.49	1.15
-23.29	1.12
-23.09	1.08
-22.89	1.05
-22.69	1.01
-22.49	0.9798
-22.29	0.94816
-22.09	0.91712
-21.89	0.88644
-21.69	0.85592
-21.49	0.82536
-21.29	0.79482
-21.09	0.7644
-20.89	0.73422
-20.69	0.70436
-20.49	0.67495
-20.29	0.64607
-20.09	0.61779
-19.89	0.59016
-19.69	0.56323
-19.49	0.53704
-19.29	0.51164
-19.09	0.48706
-18.89	0.46333
-18.69	0.44038
-18.49	0.41818
-18.29	0.39668
-18.09	0.37582
-17.89	0.35557
-17.69	0.33585
-17.49	0.31659
-17.29	0.29767
-17.09	0.27901
-16.89	0.26052
-16.69	0.24208
-16.49	0.22364
-16.29	0.20529
-16.09	0.18722
-15.89	0.16964
-15.69	0.15273
-15.49	0.13671
-15.29	0.12174
-15.09	0.10786
-14.89	0.09485
-14.69	0.0825
-14.49	0.0706
-14.29	0.05893
-14.09	0.04726
-13.89	0.03548
-13.69	0.02371
-13.49	0.01217
-13.29	0.00104
-13.09	-0.00948
-12.89	-0.01919
-12.69	-0.0279
-12.49	-0.03563
-12.29	-0.04248
-12.09	-0.04854
-11.89	-0.05395
-11.69	-0.05879
-11.49	-0.06318
-11.29	-0.06718
-11.09	-0.07081
-10.89	-0.07405
-10.69	-0.07693
-10.49	-0.079443
-10.29	-0.08158
-10.09	-0.08339
-9.89	-0.08493
-9.69	-0.08635
-9.49	-0.08774
-9.29	-0.08921
-9	-0.0898906
-8	-0.0932942
-7	-0.0932942
-6	-0.0899922
-5	-0.083312
-4	-0.0733044
-3	-0.0599948
-2	-0.043307
-1	-0.0232918
0	0
0.67	0.0338074
1.67	0.0876046
2.67	0.144501
3.67	0.206299
4.67	0.270408
5.67	0.341097
6.67	0.432892
7.67	0.494589
8.67	0.578612
8.85	0.59629
9.85	0.694411
10.85	0.799592
11.85	0.909498
12.85	1.03
13.85	1.15
14.85	1.29
15.85	1.43
16.85	1.59
17.85	1.75
18.85	1.93
19.85	2.12
20.85	2.32
21.85	2.54
22.85	2.78
23.85	3.04
24.85	3.33
25.85	3.64
26.85	3.99
27.85	4.39
28.85	4.87
29.85	5.43
30.08	5.6
31.08	6.41
32.08	7.4
33.08	8.63
34.08	10.22
34.29	10.78
34.6	11.78
34.82	12.78
34.97	13.78
35.03	14.78
35.05	15.4
35.06	16
35.51	25
